"id","title","category","tags","filters","template_number","image_url","image_urls","description","location","published","created_at"
"01b16c00-8e84-4705-9a38-fd617c5b9488","121 - Wildflower Garland Cover","funeral","[]","{""style"":[""Floral""],""colour"":[""Natural""]}","121","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/121-Wildflower%20Garland%20Cover.jpg",,"A personal cover inspired by wildflower garland, suited to remembering the interests and everyday moments that made their life distinctive.",,"true","2026-09-04 10:58:08.970936+00"
"03d00dc4-5bbf-4d1e-a3a4-006f86e115b6","108 - Journey of Life Cover","funeral","[]","{""style"":[""Traditional""],""colour"":[""Natural""]}","108","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/108-Journey%20of%20Life%20Cover.jpg",,"A personal cover inspired by journey of life, suited to remembering the interests and everyday moments that made their life distinctive.",,"true","2026-09-04 10:58:05.27226+00"
"043d6f86-558f-4ba1-b1ff-80cff9908722","196 - Om Shanti Gold Cover","funeral","[]","{""style"":[""Religious""],""colour"":[""Gold""],""religion"":[""Hindu""]}","196","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/196-Om%20Shanti%20Gold%20Cover.jpg",,"A gentle religious cover centred on om shanti gold, created for a service where faith and remembrance sit naturally together.",,"true","2026-09-04 10:58:30.381495+00"
"054cf609-f20f-4d94-b27b-42d18546f6f4","111 - Contemporary Portrait Cover","funeral","[]","{""style"":[""Contemporary""],""colour"":[""Natural""]}","111","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/111-Contemporary%20Portrait%20Cover.jpg",,"A clean, personal design for contemporary portrait, giving a favourite photograph room to remain the focus of the cover.",,"true","2026-09-04 10:58:06.101282+00"
"06916e88-6dee-401b-bf96-adc81c66a7bd","168 - Lighthouse Path Cover","funeral","[]","{""style"":[""Landscape""],""colour"":[""Blue""]}","168","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/168-Lighthouse%20Path%20Cover.jpg",,"A calm design inspired by lighthouse path, bringing a familiar place or view into the service as part of the remembrance.",,"true","2026-09-04 10:58:22.313761+00"
"0ab89236-8f60-4cc9-ac9b-b6938f790fd0","192 - Peaceful Dove Cover","funeral","[]","{""style"":[""Religious""],""colour"":[""White""],""religion"":[""Christian""]}","192","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/192-Peaceful%20Dove%20Cover.jpg",,"A gentle religious cover centred on peaceful dove, created for a service where faith and remembrance sit naturally together.",,"true","2026-09-04 10:58:29.241907+00"
"0b128a64-d513-49ce-a628-66370de1aa0c","155 - Spitfire Skies Cover","funeral","[]","{""style"":[""Traditional""],""colour"":[""Natural""]}","155","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/155-Spitfire%20Skies%20Cover.jpg",,"A traditional design for spitfire skies, keeping the cover thoughtful, clear and personal.",,"true","2026-09-04 10:58:18.635578+00"
"0ca1f69f-7731-4c56-b779-5ab8030bcce8","117 - Purple Crocus Cover","funeral","[]","{""style"":[""Floral""],""colour"":[""Purple""]}","117","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/117-Purple%20Crocus%20Cover.jpg",,"A quietly beautiful floral design built around purple crocus, with a soft, respectful feel for an Order of Service.",,"true","2026-09-04 10:58:07.854514+00"
"0d1b3fb9-9fd8-422d-9ed9-b6b46fe1a9ec","151 - Farmland View Cover","funeral","[]","{""style"":[""Landscape""],""colour"":[""Green""]}","151","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/151-Farmland%20View%20Cover.jpg",,"A calm design inspired by farmland view, bringing a familiar place or view into the service as part of the remembrance.",,"true","2026-09-04 10:58:17.505766+00"
"0eb4d547-29f6-4c71-a1e5-ff3fc156f448","014 - Rose Floral Photo Collage Memorial","funeral","[]","{""style"":[""Floral""],""colour"":[""Grey""],""children"":[""Children""]}","014","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/Children_s_Cover_Templates14-1788852257607-wpaivk5.jpg",,"A personalised children’s memorial cover for Charlie Edward Mitchell featuring three photographs arranged vertically along the left side, framed by soft pink roses and greenery on a light grey background.",,"true","2026-09-08 07:24:25.902518+00"
"0ebd502a-7da8-4544-9a82-b61424df920a","169 - Blue Ocean Waves Cover","funeral","[]","{""style"":[""Landscape""],""colour"":[""Blue""]}","169","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/169-Blue%20Ocean%20Waves%20Cover.jpg",,"A calm design inspired by blue ocean waves, bringing a familiar place or view into the service as part of the remembrance.",,"true","2026-09-04 10:58:22.600834+00"
"1111c8fd-3490-4d04-b4a4-ab9859c838fc","153 - Gardening Tools Cover","funeral","[]","{""style"":[""Hobby""],""colour"":[""Natural""]}","153","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/153-Gardening%20Tools%20Cover.jpg",,"A personal cover inspired by gardening tools, suited to remembering the interests and everyday moments that made their life distinctive.",,"true","2026-09-04 10:58:18.075594+00"
"11160cad-68d0-4518-aa0a-d47b7c555a3a","107 - Transparent Photo Overlay Cover","funeral","[]","{""style"":[""Traditional""],""colour"":[""Natural""]}","107","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/107-Transparent%20Photo%20Overlay%20Cover.jpg",,"A clean, personal design for transparent photo overlay, giving a favourite photograph room to remain the focus of the cover.",,"true","2026-09-04 10:58:04.995591+00"
"11e4cc33-32b8-4823-866c-43c30ad929a3","132 - Crocus Dawn Cover","funeral","[]","{""style"":[""Floral""],""colour"":[""Purple""]}","132","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/132-Crocus%20Dawn%20Cover.jpg",,"A quietly beautiful floral design built around crocus dawn, with a soft, respectful feel for an Order of Service.",,"true","2026-09-04 10:58:12.099023+00"
"146ffe72-5ec0-4914-bbe9-e991694c6d86","163 - Cliff and Sea Cover","funeral","[]","{""style"":[""Landscape""],""colour"":[""Natural""]}","163","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/163-Cliff%20and%20Sea%20Cover.jpg",,"A calm design inspired by cliff and sea, bringing a familiar place or view into the service as part of the remembrance.",,"true","2026-09-04 10:58:20.868473+00"
"14dab631-fa28-4769-8121-aeb6230a45bb","199 - Golden Temple Tribute Cover","funeral","[]","{""style"":[""Religious""],""colour"":[""Gold""],""religion"":[""Sikh""]}","199","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/199-Golden%20Temple%20Tribute%20Cover.jpg",,"A gentle religious cover centred on golden temple tribute, created for a service where faith and remembrance sit naturally together.",,"true","2026-09-04 10:58:31.254194+00"
"14f4c7a4-1abb-43a8-8d79-9ec7a2ffb07f","007 - Magical Unicorn Memorial","funeral","[]","{""style"":[""Fairytale""],""colour"":[""Pink""],""children"":[""Children""]}","007","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/Children_s_Cover_Templates7-1788851679965-4ut0wgy.jpg",,"A colourful fantasy memorial cover featuring Amelia Rose Thompson’s photograph over a glowing pink and purple scene with a large magical unicorn. Sparkling light effects create a bright, whimsical and comforting children’s tribute.",,"true","2026-09-08 07:15:18.326986+00"
"1f2b17a6-b0a6-4f36-a8b7-aacda1b703a5","129 - White Rose Farewell Cover","funeral","[]","{""style"":[""Floral""],""colour"":[""Pink""]}","129","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/129-White%20Rose%20Farewell%20Cover.jpg",,"A quietly beautiful floral design built around white rose farewell, with a soft, respectful feel for an Order of Service.",,"true","2026-09-04 10:58:11.205524+00"
"2042435d-f71f-4dc7-83d8-5824d617c7e3","200 - Golden Temple Light Cover","funeral","[]","{""style"":[""Religious""],""colour"":[""Gold""],""religion"":[""Sikh""]}","200","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/200-Golden%20Temple%20Light%20Cover.jpg",,"A gentle religious cover centred on golden temple light, created for a service where faith and remembrance sit naturally together.",,"true","2026-09-04 10:58:31.614532+00"
"20dd4994-03e8-49b2-9d13-e967a33819b5","104 - Blue Floral Sketch Cover","funeral","[]","{""style"":[""Floral""],""colour"":[""Blue""]}","104","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/104-Blue%20Floral%20Sketch%20Cover.jpg",,"A floral design for blue floral sketch, keeping the cover thoughtful, clear and personal.",,"true","2026-09-04 10:42:38.957215+00"
"2136cf98-6748-4bb4-836e-4bf160a97d86","115 - Daffodil Memory Cover","funeral","[]","{""style"":[""Traditional""],""colour"":[""Natural""]}","115","https://pub-172d7d176e1b4109938fad7b98c20ca7.r2.dev/funeral/115-Daffodil%20Memory%20Cover.jpg",,"A traditional design for daffodil memory, keeping the cover thoughtful, clear and personal.",,"true","2026-09-04 10:58:07.293483+00"
